,Unnamed: 0,a01,aeu,totexp_m,hh_type,div,District,Upazila,Union,Village,lat1,long1,totexp_m_pc
5372,5373,5204.0,2.86999994516373,2490.7738342285197,3,60,91,9153,915352,91535201,25.2002777777778,92.37222222222219,-0.3492878107451425
5373,5374,5205.0,3.6799999475479104,3444.03568649292,3,60,91,9153,915352,91535201,25.224722222222198,92.3469444444444,-0.2567305787822085
5374,5375,5206.0,3.75999993085861,2939.73796463013,3,60,91,9153,915352,91535201,25.2569444444444,92.28027777777781,-0.46634926732443
5375,5376,5207.0,1.85999995470047,2571.84522247314,3,60,91,9153,915352,91535201,25.2327777777778,92.26111111111109,0.3513466182110712
5376,5377,5208.0,5.75999990105629,5649.92565917969,3,60,91,9153,915352,91535201,25.3430555555556,92.28527777777781,-0.19547746618669487
5377,5378,5209.0,4.44999992847443,3074.07740020752,3,60,91,9153,915352,91535201,25.3483333333333,92.2608333333333,-0.5902436669684118
5378,5379,5210.0,4.1499999165535,2897.9644317627003,3,60,91,9153,915352,91535201,25.378611111111102,92.2302777777778,-0.5800361669903903
5379,5380,5211.0,1.8499999642372098,1517.23207473755,3,60,91,9153,915352,91535201,25.3744444444444,92.2452777777778,-0.4142552394202724
5380,5381,5212.0,2.0,2439.06145858765,3,60,91,9153,915352,91535201,25.3675,92.2552777777778,0.12927915392643644
5381,5382,5213.0,6.149999946355821,5769.7321472168005,3,60,91,9153,915352,91535201,25.3702777777778,92.28138888888891,-0.2536161691097432
5382,5383,5214.0,4.33999997377396,2984.75,3,60,91,9153,915352,91535201,25.358611111111102,92.30138888888891,-0.5944262713956786
5383,5384,5215.0,3.35999992489815,2690.7321472168,3,60,91,9153,915352,91535201,25.3427777777778,92.31388888888891,-0.44053656987092604
5384,5385,5216.0,3.02999997138977,2836.875,3,60,91,9153,915352,91535201,25.331111111111102,92.3041666666667,-0.25620922117442496
5385,5386,5217.0,4.78000003099442,2316.22216033936,3,60,91,9153,915352,91535201,25.308888888888898,92.325,-0.8709054200515081
5386,5387,5218.0,3.79999992251396,3071.1875686645503,3,60,91,9153,915352,91535201,25.3022222222222,92.3130555555556,-0.4304742200923873
5387,5388,5219.0,4.59999993443489,3448.7697525024396,3,60,91,9153,915352,91535201,25.313888888888897,92.315,-0.510050070303
5388,5389,5220.0,,0.0,3,60,91,9153,915352,91535201,25.38,92.2436111111111,
5389,5390,5221.0,2.9299999475479104,4315.08930206299,3,60,91,9159,915976,91597601,25.0175,92.36388888888891,0.4738433272105404
5390,5391,5222.0,4.8899999260902405,3120.77372169495,3,60,91,9159,915976,91597601,25.0127777777778,92.3458333333333,-0.6618369485118726
5391,5392,5223.0,4.6399999260902405,3939.0834045410206,3,60,91,9159,915976,91597601,25.0275,92.5877777777778,-0.3750421578158612
5392,5393,5224.0,5.44999992847443,2769.5238342285197,3,60,91,9159,915976,91597601,25.001388888888897,92.39,-0.8387834031137199
5393,5394,5225.0,4.33999997377396,3453.1071472168,3,60,91,9159,915976,91597601,25.0127777777778,92.3836111111111,-0.44756723745486227
5394,5395,5226.1,2.09999996423721,1521.34914016724,3,60,91,9159,915976,91597601,25.2605555555556,92.3758333333333,-0.544453386355216
5395,5396,5226.2,4.009999930858609,3734.01190567017,3,60,91,9159,915976,91597601,25.2605555555556,92.3758333333333,-0.2631323620521335
5396,5397,5227.0,1.71999996900558,2092.24207687378,3,60,91,9159,915976,91597601,25.255,92.4,0.1250456630514511
5397,5398,5228.0,3.91999992728233,1162.67856788635,3,60,91,9159,915976,91597601,25.2155555555556,92.4458333333333,-1.1266974718827782
5398,5399,5229.0,1.63999998569489,1497.52976989746,3,60,91,9159,915976,91597601,25.212777777777802,92.4422222222222,-0.28769197915512584
5399,5400,5230.0,3.8799999952316298,3331.7459602356,3,60,91,9159,915976,91597601,25.1772222222222,92.4297222222222,-0.36176423808295616
5400,5401,5231.0,2.6099999547004704,2710.00004196167,3,60,91,9159,915976,91597601,25.2563888888889,92.4141666666667,-0.11733104046350004
5401,5402,5232.0,4.44999992847443,2553.66064453125,3,60,91,9159,915976,91597601,25.2072222222222,92.4416666666667,-0.7493928849060121
