a01,aeu,totexp_m,div,district,hh_type,lat1,long1,totexp_m_pc
169,1.50999999,10725.24303,10,6,national representative,22.98444444,90.34444444,7102.810002
170,3.899999946,17701.39877,10,6,national representative,22.91333333,90.52083333,4538.82026
171,3.379999936,11817.58547,10,6,national representative,22.90416667,90.415,3496.327127
172,2.279999971,7164.362297,10,6,national representative,22.8775,90.48555556,3142.264205
173,0.829999983,1625.87602,10,6,national representative,22.93361111,90.37,1958.886811
174,2.599999964,5818.117019,10,6,national representative,22.93027778,90.37472222,2237.737346
175,2.329999954,5751.82995,10,6,national representative,22.88638889,90.48361111,2468.596594
176,3.829999924,12375.25188,10,6,national representative,22.91333333,90.52083333,3231.136326
177,3.799999952,14145.54505,10,6,national representative,22.96388889,90.36111111,3722.511903
178,1.290000021,8058.420618,10,6,national representative,22.97111111,90.36194444,6246.837584
179,3.089999974,8289.355988,10,6,national representative,22.93888889,90.45638889,2682.639501
180,3.689999938,10582.80374,10,6,national representative,22.98861111,90.34611111,2867.968542
181,2.109999955,39550.50322,10,6,national representative,22.68694444,90.32305556,18744.31473
182,4.129999936,17854.87206,10,6,national representative,22.68833333,90.34388889,4323.21364
183,2.329999983,13460.26642,10,6,national representative,22.68166667,90.35944444,5776.93842
184,2.5,4106.641262,10,6,national representative,22.70083333,90.35388889,1642.656505
185,4.539999902,21067.77086,10,6,national representative,22.68055556,90.40666667,4640.478262
186,4.099999994,14944.51034,10,6,national representative,22.63055556,90.38222222,3645.002528
187,5.719999969,23893.37053,10,6,national representative,22.61083333,90.38472222,4177.162702
188,2.539999992,9739.369637,10,6,national representative,22.67583333,90.42805556,3834.397508
189,2.609999955,16527.5801,10,6,national representative,22.72444444,90.34361111,6332.406278
190,2.689999938,10557.37528,10,6,national representative,22.70305556,90.44777778,3924.674915
191,6.849999875,25977.83052,10,6,national representative,22.68361111,90.45694444,3792.384086
192,4.159999907,20631.99684,10,6,national representative,22.66666667,90.46277778,4959.614736
193,2.389999926,9927.34543,10,6,national representative,22.62666667,90.45833333,4153.701145
194,2.24999997,5184.283286,10,6,national representative,22.62861111,90.42083333,2304.125935
195,4.189999908,8047.003613,10,6,national representative,22.66055556,90.42361111,1920.525964
196,3.359999955,16610.87998,10,6,national representative,22.7225,90.39833333,4943.714346
197,1.50999999,17094.47364,10,6,national representative,22.72888889,90.38888889,11320.84354
198,2.099999964,9806.061324,10,6,national representative,22.735,90.36055556,4669.553091
199,2.959999979,12649.4739,10,6,national representative,22.7225,90.32916667,4273.470942
200,1.439999998,5760.98575,10,6,national representative,22.70055556,90.31972222,4000.684555
201,4.889999926,9446.246263,10,6,national representative,23.10055556,90.63305556,1931.747731
202,2.059999943,15435.7108,10,6,national representative,23.04416667,90.62944444,7493.063702
203,4.559999943,8059.235508,10,6,national representative,23.00444444,90.64444444,1767.37623
204,3.219999969,25145.38622,10,6,national representative,23.01361111,90.625,7809.126232
205,1.50999999,12776.54775,10,6,national representative,23.04527778,90.61722222,8461.289953
206,3.019999981,13985.05363,10,6,national representative,22.93222222,90.6975,4630.812488
207,2.539999962,7922.797085,10,6,national representative,23.02,90.60583333,3119.211498
208,4.469999969,6039.404706,10,6,national representative,23.01583333,90.635,1351.097259
209,4.669999957,10445.2765,10,6,national representative,23.00888889,90.65333333,2236.675931
210,2.459999979,13396.96352,10,6,national representative,23.03305556,90.69277778,5445.920178
211,2.539999962,7315.197329,10,6,national representative,23.01222222,90.71277778,2879.998992
212,2.519999981,9787.283521,10,6,national representative,22.9875,90.69944444,3883.842697
213,2.940000027,17996.25129,10,6,national representative,22.93055556,90.69833333,6121.173852
214,3.889999956,16416.06626,10,6,national representative,22.94333333,90.67444444,4220.068495
215,3.789999962,8207.710976,10,6,national representative,23.17083333,90.70388889,2165.622971
216,4.099999994,8497.897957,10,6,national representative,23.00277778,90.66055556,2072.658041
217,3.929999948,7164.636452,10,6,national representative,23.01444444,90.62527778,1823.062735
218,6.529999882,18158.19672,10,6,national representative,22.98722222,90.60416667,2780.734617
219,5.929999948,29521.77398,10,6,national representative,22.93222222,90.71055556,4978.376769
220,3.599999994,7442.862175,10,6,national representative,23.00166667,90.60194444,2067.461719
221,3.00999999,22474.82259,10,6,national representative,22.92,90.49611111,7466.718492
222,4.839999914,10434.27752,10,6,national representative,22.915,90.49222222,2155.842502
223,2,16656.62566,10,6,national representative,22.91777778,90.47194444,8328.312828
224,3.159999937,11042.65382,10,6,national representative,22.92805556,90.43666667,3494.510773
225,1.25999999,5581.34173,10,6,national representative,22.92666667,90.28194444,4429.636327
226,1.50999999,6983.347629,10,6,national representative,22.905,90.43,4624.733558
227,3.539999992,32413.25668,10,6,national representative,22.92277778,90.43277778,9156.28722
228,5.119999945,12802.14516,10,6,national representative,22.90555556,90.41694444,2500.419004
229,0.610000014,5612.36627,10,6,national representative,22.89805556,90.38027778,9200.600227
230,2.319999993,6310.060995,10,6,national representative,22.87222222,90.36166667,2719.853885
231,4.309999943,13174.89291,10,6,national representative,22.84027778,90.3775,3056.81974
232,3.609999955,11739.24641,10,6,national representative,22.81027778,90.4675,3251.868853
233,3.149999976,13511.01321,10,6,national representative,22.84472222,90.46805556,4289.210576
234,3.909999907,10054.17304,10,6,national representative,22.88888889,90.51305556,2571.399815
235,4.099999934,9603.563841,10,6,national representative,22.88166667,90.53361111,2342.332682
236,2.959999979,14323.38683,10,6,national representative,22.86722222,90.52527778,4838.982071
237,2.360000014,5612.228147,10,6,national representative,22.86,90.53638889,2378.06276
238,3.020000041,15281.95163,10,6,national representative,22.86583333,90.29833333,5060.248816
239,3.430000007,19662.78043,10,6,national representative,22.81166667,90.28611111,5732.589034
240,5.409999967,18346.79159,10,6,national representative,22.82027778,90.30722222,3391.273882
241,3.919999897,9488.337528,10,6,national representative,23.08833333,90.5075,2420.494331
242,2.919999987,6950.090544,10,6,national representative,22.99611111,90.52694444,2380.168005
243,1.859999955,7792.450022,10,6,national representative,23.08833333,90.50583333,4189.489361
244,3.439999968,10407.16566,10,6,national representative,23.01611111,90.58166667,3025.338883
245,4.119999945,8375.754397,10,6,national representative,23.08833333,90.50777778,2032.950123
246,2.319999993,8918.928487,10,6,national representative,23.09361111,90.50472222,3844.365739
247,3.709999919,10266.36719,10,6,national representative,23.09722222,90.50777778,2767.214935
248,3.709999919,12775.86876,10,6,national representative,23.08833333,90.50305556,3443.630469
249,2.329999983,13374.55677,10,6,national representative,23.01861111,90.57694444,5740.153161
250,3.319999993,10241.65,10,6,national representative,23.09361111,90.50777778,3084.834344
251,3.959999979,8416.277111,10,6,national representative,23.09361111,90.50583333,2125.322514
252,2.099999964,5868.72085,10,6,national representative,22.99888889,90.45,2794.629024
253,1.859999955,6569.572657,10,6,national representative,23.09111111,90.50583333,3532.028396
254,4.559999943,11757.9502,10,6,national representative,23.09722222,90.50777778,2578.497883
255,2.679999948,4427.828093,10,6,national representative,23.08555556,90.50472222,1652.174694
