,a01,totexp_m,div,District,lat,long
1837,1773,150.19222,60,36,24.43027778,91.73583333
4935,4780,44.60696559,50,88,24.29916667,89.65083333
1199,1157,270.694286,20,22,21.84694444,91.99694444
535,522,45.82920607,20,12,24.10805556,91.31
640,621,48.60846656,20,13,23.16722222,90.91305556
3314,3203,89.53589347,30,61,24.565,90.38
5139,4975,108.2935417,60,90,25.17166667,91.14722222
928,891,164.6912347,40,18,23.56444444,89.06472222
6091,5895,166.5323192,30,35,23.32444444,90.12972222
4767,4615,38.55199372,30,86,23.25027778,90.83138889
6004,5810,57.92947541,30,29,23.83777778,89.82
1458,1402,42.49022905,30,29,23.57055556,89.99472222
3742,3620.1,152.2335934,30,67,23.83277778,90.725
117,113,131.658078,10,4,22.13555556,90.33055556
1593,1533,78.22452833,55,32,25.27777778,89.63111111
6494,6288,31.31015244,10,78,22.26583333,90.78833333
2928,2831,14.33901991,40,55,23.75416667,89.61861111
59,56,205.6809586,40,1,22.53555556,90.1275
1807,1743,127.2237828,60,36,24.7275,91.48611111
2671,2583,58.20626489,40,50,24.21861111,89.01444444
274,266,35.86323884,10,6,23.05972222,90.30555556
5487,5310,40.36295019,30,93,24.62555556,90.305
4892,4738,81.50194294,50,88,24.3975,89.77277778
6162,5965,87.83264382,40,41,23.17805556,89.32722222
5909,5718,50.34824845,10,9,22.79805556,90.8075
413,402,43.83900084,50,10,24.81361111,89.71083333
1691,1630,192.8908927,30,33,24.17722222,90.66388889
5094,4934.1,125.9498557,60,90,25.15361111,91.75305556
1818,1754,77.46776348,60,36,24.71722222,91.47083333
4879,4725,73.87046008,50,88,24.25944444,89.86888889
5716,5529,90.3316047,40,1,22.77138889,89.72722222
1788,1725,95.1054633,30,35,23.45361111,90.04388889
3644,3525,67.0386459,50,64,25.01277778,88.65777778
2312,2233,88.44420986,40,44,23.54277778,89.26166667
6109,5913,63.42970717,40,41,23.17444444,89.37722222
2280,2204,75.09680315,40,44,23.7725,89.22388889
850,816,56.17388453,20,15,22.70777778,92.16277778
2948,2851,70.90052286,40,55,23.55583333,89.63416667
1925,1855,173.6127054,60,36,24.60027778,91.65583333
4847,4694.1,70.45591559,40,87,22.51055556,89.21472222
3574,3460,77.67640567,30,61,24.89333333,90.49916667
499,486,127.8054666,20,12,23.94972222,90.98972222
7305,7591,54.38665193,50,81,24.68527778,88.65444444
5830,5641,141.2533318,10,6,22.84833333,90.40722222
6237,6038,107.408652,40,44,23.72083333,89.05055556
2110,2040,30.55251079,30,39,24.85416667,89.99694444
3883,3757,186.4229494,30,68,24.22,90.96777778
3356,3244,155.4122084,30,61,24.75,90.4375
426,415,83.5886314,50,10,24.99972222,89.75444444
7048,7334,90.31262916,20,46,23.00694444,92.02527778
5336,5169,251.3669032,60,91,24.83638889,92.07583333
2961,2863,134.3428192,30,56,23.96138889,89.99722222
4470,4324,66.0783397,10,79,22.64888889,90.32777778
6644,6434,79.73495961,40,87,22.65916667,89.41111111
6123,5926,91.37020061,40,41,23.3075,89.33888889
551,537,61.42486298,20,12,24.16361111,91.03388889
2142,2072,85.18250059,30,39,25.04611111,90.01222222
6558,6351,131.2412794,10,79,22.86055556,89.99388889
4102,3969,64.58677734,30,72,24.9325,90.81694444
3505,3392,25.9064987,30,61,24.72138889,90.71
6604,6395,151.073733,30,86,23.505,90.55194444
1448,1393.2,64.66190345,30,29,23.82833333,89.77222222
3260,3151,150.4489913,30,59,23.79194444,90.72472222
133,129,195.4801223,10,4,22.26916667,90.27861111
983,944,38.82877726,20,19,23.15111111,91.4025
4090,3957,134.7050194,30,72,24.89972222,91.01916667
4101,3968,90.84742805,30,72,24.92833333,90.82611111
5801,5612,43.22041153,10,6,22.87583333,90.36666667
6305,6102,131.3245633,40,47,22.95694444,89.40055556
6669,6458,30.63387816,40,87,23.03166667,89.09972222
