a01,aeu,totexp_m,hh_type,div,District,lat1,long1,totexp_m_pc
140,4.919999897,4222.063527,2,10,4,22.34305556,90.28027778,858.1430112
141,3.669999957,2718.803558,3,10,4,22.3575,90.18611111,740.8184169
142,4.819999933,3939.722168,3,10,4,22.36166667,90.20611111,817.3697557
143,4.599999905,4723.52182,3,10,4,22.35277778,90.22111111,1026.852591
144,1.50999999,1497.142822,3,10,4,22.34638889,90.23694444,991.485319
145,1.779999971,2613.214226,3,10,4,22.34611111,90.25138889,1468.097903
146,4,2343.119095,3,10,4,22.34305556,90.02361111,585.7797737
147,4.669999957,2205.079422,3,10,4,22.325,90.07777778,472.1797521
148.1,1.859999955,1635.357193,3,10,4,22.32805556,90.10166667,879.2243187
148.2,2.219999969,1806.448421,3,10,4,22.33111111,90.10277778,813.7155165
148.3,1.849999964,1855.982083,3,10,4,22.32861111,90.10388889,1003.233578
149,3.699999928,3199.970215,3,10,4,22.30277778,90.11638889,864.8568315
150,2.459999979,2212.817535,3,10,4,22.27444444,90.10861111,899.5193312
151,5.9799999,3617.827469,3,10,4,22.26166667,90.07722222,604.9878812
152,2.709999979,4255.297668,3,10,4,22.25055556,90.08694444,1570.220554
153,3.289999962,2879.851124,3,10,4,22.22972222,90.07416667,875.3346982
154,4.959999919,4020.496029,3,10,4,22.22694444,90.02472222,810.58389
155,3.639999986,2811.559448,3,10,4,22.22444444,90.23333333,772.4064449
156,2.439999938,3673.908813,3,10,4,22.23138889,90.02222222,1505.700372
157,3.169999957,2723.229156,3,10,4,22.21972222,90.20111111,859.062837
158,3.709999919,2820.863075,3,10,4,22.24055556,90.19305556,760.3404682
159,NA,0,3,10,4,22.19694444,90.2325,NA
160,1.290000021,1123.45237,3,10,4,22.20944444,90.22805556,870.8932954
161,2.139999986,1975.63501,2,10,6,22.9075,90.40666667,923.193936
162,3.179999948,4353.363052,2,10,6,22.94444444,90.49111111,1368.982115
163,2.919999957,1876.875,2,10,6,23.00638889,90.52694444,642.7654204
164,1.98999998,1968.46236,2,10,6,22.86444444,90.43555556,989.1770756
165,2.24999994,1469.134918,2,10,6,22.91027778,90.50833333,652.9488698
166,5.829999924,4944.571365,2,10,6,22.93305556,90.46472222,848.1254597
167,3.949999988,3067.404793,2,10,6,22.83555556,90.45,776.5581777
168,1.50999999,1487.976181,2,10,6,22.90916667,90.50833333,985.4146956
169,3.689999998,4408.726212,2,10,6,22.98444444,90.34444444,1194.776752
170,4.159999967,4857.638885,2,10,6,22.90416667,90.415,1167.701665
171,3.709999949,3688.618958,2,10,6,22.90416667,90.415,994.2369295
172,2.430000007,2044.404724,2,10,6,22.8775,90.48555556,841.318814
173,0.829999983,609.2261887,2,10,6,22.93361111,90.37,734.007471
174,3.110000014,1631.446339,2,10,6,22.93027778,90.37305556,524.5808139
175,2.699999988,1872.693476,2,10,6,22.88638889,90.48361111,693.5901793
176,2.980000019,2783.005959,2,10,6,22.91333333,90.52166667,933.894611
177,3.939999938,4538.595093,2,10,6,22.96388889,90.36111111,1151.927707
178,4.99999994,1983.690434,2,10,6,22.97111111,90.36194444,396.7380914
179,2.079999983,2703.422626,2,10,6,22.93888889,90.45638889,1299.722427
180,4.809999943,3702.182327,2,10,6,22.98861111,90.34611111,769.6844847
181,2.409999967,13350.94748,2,10,6,22.68694444,90.32305556,5539.812307
182,3.479999959,4255.379559,2,10,6,22.68833333,90.34388889,1222.810232
183,1.980000019,5078.571529,2,10,6,22.68166667,90.35944444,2564.935091
184,5.299999952,4096.845184,2,10,6,22.70083333,90.35388889,772.9896644
185,4.519999951,3733.184525,2,10,6,22.68055556,90.40666667,825.9257887
186,2.610000014,3164.642876,2,10,6,22.63055556,90.38222222,1212.506842
187,5.189999998,7261.517838,2,10,6,22.61083333,90.38472222,1399.136386
188,2.810000002,2756.607178,2,10,6,22.67583333,90.42805556,980.9989948
189,1.859999955,8605.029879,2,10,6,22.72444444,90.34361111,4626.360262
190,1.659999967,1619.345242,2,10,6,22.70305556,90.44777778,975.5092013
191,5.909999967,5225.297775,2,10,6,22.68361111,90.45694444,884.1451446
192,3.98999995,4112.28569,2,10,6,22.66666667,90.46277778,1030.648056
193,2.689999938,3740.416523,2,10,6,22.62666667,90.45833333,1390.489446
194,2.74999994,2345.625,2,10,6,22.62861111,90.42083333,852.9545639
195,6.349999905,3646.413795,2,10,6,22.66055556,90.42361111,574.2384016
196,4.539999962,4542.767771,2,10,6,22.7225,90.39833333,1000.60965
197,1.290000021,8160.476181,2,10,6,22.72888889,90.38888889,6325.950423
198,2.309999973,2031.121078,2,10,6,22.735,90.36055556,879.2732046
199,2.189999998,2738.194448,2,10,6,22.7225,90.32916667,1250.317101
200,2.469999969,2529.373043,2,10,6,22.70055556,90.31972222,1024.037682
201,4.309999943,2686.378921,3,10,6,23.10055556,90.63305556,623.289781
202,3.469999909,3403.157715,3,10,6,23.04416667,90.62944444,980.7371192
203,1.859999955,1579.166626,3,10,6,23.00444444,90.64444444,849.0143357
204,2.329999983,7197.212412,3,10,6,23.01361111,90.625,3088.932388
205,1.290000021,8018.184402,3,10,6,23.04527778,90.61722222,6215.64672
206,3.959999979,3456.339355,3,10,6,22.93222222,90.6975,872.8129733
207,3.5,2556.476027,3,10,6,23.02,90.60583333,730.4217219
208,5.929999948,3453.72035,3,10,6,23.01583333,90.635,582.414904
209,3.009999961,1479.392773,3,10,6,23.00888889,90.65333333,491.4926219
210,3.98999998,3052.212255,3,10,6,23.03305556,90.69277778,764.9654814
211,1.50999999,4033.809542,3,10,6,23.01222222,90.71277778,2671.397064
